"夜間","やかん","night, nighttime"
"知覚","ちかく","perception, sensation, awareness"
"条約","じょうやく","treaty, pact, convention, agreement"
"垂直","すいちょく","vertical; perpendicular"
"炸裂","さくれつ","violent explosion, bursting"
"大笑い","おおわらい","great laughter, burst of laughter"
"後部","こうぶ","rear, stern"
"番地","ばんち","house number, address"
"各種","かくしゅ","every kind, all sorts"
"視覚","しかく","(sense of) sight, eyesight, vision"
"執行","しっこう, しゅぎょう, しゅうぎょう, しぎょう","execution, carrying out, performance, enforcement, exercise, service, conduct; execution; lead monk performing various tasks in a temple"
"","サイレン","siren"
"担任","たんにん","being in charge of (esp. a class or subject), taking charge of; class teacher, homeroom teacher, form teacher"
"娼婦","しょうふ","prostitute"
"ぶっきら棒","ぶっきらぼう","curt, blunt, brusque"
"延長","えんちょう","extension, elongation, prolongation, lengthening; (total) length; extension (e.g. of one's work), continuation; extension (of a line segment); extension (property of occupying space); Enchō era (923.4.11-931.4.26)"
"蕾","つぼみ","(flower) bud; promising young person, budding beauty"
"書記","しょき","clerk, secretary; writing down, putting on record"
"母子","ぼし, ははこ, おやこ","mother and child"
"催促","さいそく","pressing, urging, demanding, demand"
"","ね, ねー, ねえ, ねぇ","right?, isn't it?, doesn't it?, don't you?, don't you think?; hey, say, listen, look, come on; you know, you see, I must say, I should think; will you?, please; so, ..., well, ..., you see, ..., you understand?; I'm not sure if ..., I have my doubts about whether ..."
"不正","ふせい","injustice, unfairness, wrongdoing, iniquity, impropriety, irregularity, dishonesty, illegality, fraud"
"亀裂","きれつ","crack, crevice, fissure, chap, rift"
"船員","せんいん","sailor, seaman, seafarer"
"平等","びょうどう","equality, impartiality, evenness"
"調和","ちょうわ","harmony, accord, reconciliation, agreement"
"執念","しゅうねん","tenacity, persistence, obsession, implacability"
"頂","いただき","crown (of head), summit (of mountain), spire; easy win for one; something received"
"帰り道","かえりみち","the way back, the way home, return trip"
"故意","こい","intent, intention, bad faith; mens rea (guilty mind)"
"今ひとつ","いまひとつ","one more, another (one); (not) quite, (not) entirely, (not) enough, somewhat (lacking)"
"安らぐ","やすらぐ","to feel at ease"
"大空","おおぞら","wide open sky, the blue, heavens, firmament"
"高らか","たからか","loud, sonorous, ringing"
"積み重ねる","つみかさねる","to pile up, to accumulate"
"伊","い","Italy"
"","ブーム","boom, craze, fad; (economic) boom; boom (of a boat); (microphone) boom"
"図々しい","ずうずうしい, ずーずーしい","impudent, shameless, brazen, forward, audacious, cheeky"
"蒸気","じょうき","steam, vapour, vapor; steamboat, steam locomotive"
"実施","じっし","enforcement, implementation, putting into practice, carrying out, operation, working (e.g. working parameters), enactment"
"出動","しゅつどう","mobilization, going into action, being dispatched, being sent out, being called in, turning out"
"絆","きずな, きづな","bond (between people), (emotional) ties, bonds, relationship, connection, link; tether, fetters"
"お祝い","おいわい","congratulation, congratulations, celebration, festival; congratulatory gift, present"
"任命","にんめい","appointment, nomination, ordination, commission, designation"
"口紅","くちべに","lipstick"
"事実上","じじつじょう","as a matter of fact, actually, effectively, in reality, in effect"
"劇団","げきだん","troupe, theatrical company"
"参照","さんしょう","reference (e.g. to a dictionary, passage, footnotes), consultation, comparison; browsing (to a file or folder)"
"","アリア","aria"
"再婚","さいこん","second marriage, remarriage"
"船室","せんしつ","stateroom, cabin"
"","クッション","cushion; cushion (to soften the blow), mitigation"
"三味線","しゃみせん, さみせん","shamisen, samisen, three-stringed Japanese lute"
"","パンチ","punch (with the fist); punching (a hole), hole punch; punch (drink); punch (in a song, speech, etc.), impact"
"統治","とうち, とうじ","rule, reign, government, governing"
"隣人","りんじん","neighbour, neighbor, (people in the) neighbourhood, neighborhood"
"浴槽","よくそう","bathtub"
"没頭","ぼっとう","immersing oneself in, being absorbed in, devoting oneself to, giving oneself up entirely to"
"正門","せいもん","main gate, main entrance"
"境界","きょうかい","boundary, border, limit, bounds, frontier"
"分裂","ぶんれつ","split, division, break up"
"功績","こうせき","achievement, meritorious deed, distinguished service, contribution"
"登録","とうろく","registration, accession, register, entry, record, subscription"
"語彙","ごい","vocabulary, lexicon, lexis, terminology"
"総統","そうとう","supreme ruler, generalissimo; president (of Taiwan); führer, fuehrer"
"店主","てんしゅ","shopkeeper, storekeeper, proprietor of a shop"
"和服","わふく","Japanese clothes"
"常務","じょうむ","managing director, executive director; routine business, regular business"
"分類","ぶんるい","classification, categorization, sorting"
"お土産","おみやげ, おみあげ","local specialty or souvenir bought as a gift while traveling (travelling); present brought by a visitor; something unpleasant that one is given (e.g. an illness while on vacation), unwelcome gift, disservice"
"","ジャングル","jungle; jungle, jungle music"
"欠陥","けっかん","defect, fault, flaw, deformity, deficiency, shortage, gap"
"","レール","rail (track); (curtain) rail, track (for a sliding door); groundwork, spadework, preparations, arrangements"
"全面的","ぜんめんてき","total, complete, all-out, general, extensive, full-scale"
"供述","きょうじゅつ","affidavit, deposition, testimony"
"取り替える","とりかえる","to exchange, to swap, to barter; to replace, to substitute"
"現れ","あらわれ","embodiment, manifestation, materialization, materialisation, expression, indication"
"見直し","みなおし","review, reconsideration, revision"
"社会党","しゃかいとう","Socialist Party"
"決算","けっさん","settlement of accounts, closing accounts, financial results, reporting (of accounts)"
"冷戦","れいせん","cold war, the Cold War"
"現行","げんこう","present, current, in operation"
"定数","ていすう, じょうすう","fixed number, quorum (for an assembly); constant, invariable; literal; fate"
"党首","とうしゅ","party leader"
"変わった","かわった","unusual, abnormal, strange, odd, peculiar, weird, different"
"理","り","reason, principle, logic; general principle (as opposed to individual concrete phenomenon); the underlying principles of the cosmos (in neo-Confucianism)"
"下院","かいん","lower house, lower legislative chamber"
"原発","げんぱつ","nuclear power plant, nuclear power generation; primary (e.g. primary immunodeficiency syndrome)"
"国民投票","こくみんとうひょう","national referendum"
"債務","さいむ","debt, liabilities, obligation to a person or party (usu. legal or contractual)"
"最高裁","さいこうさい","Supreme Court"
"低迷","ていめい","hanging low (of clouds); remaining low (of sales, stock prices, etc.), remaining sluggish (of the economy, market, etc.), hovering (around a low level), floundering, slump, depression"
"同月","どうげつ","the same month"
"年内","ねんない","remainder of the year, rest of the year"
"保全","ほぜん","preservation, conservation, maintenance, integrity"
"包括","ほうかつ","inclusion, complete coverage, comprehensiveness"
"連勝","れんしょう","consecutive victories, series of victories, winning streak"
"里","り","Japanese league, ri, old Japanese unit of distance, approx. 3.927 km or 2.44 miles; neighbourhood (under the ritsuryō system; orig. of 50 homes); unit of area (approx. 654 m by 654 m)"
"終値","おわりね","closing price"
"盛り込む","もりこむ","to incorporate, to include; to fill (a vessel) with"
"税率","ぜいりつ","tariff; tax rate"
"中小企業","ちゅうしょうきぎょう","small and medium-sized enterprises, small and medium-sized businesses"
"満塁","まんるい","bases loaded"
"利用者","りようしゃ","user, end-user, consumer, patron, customer, client"
"連敗","れんぱい","consecutive defeats, series of defeats"
"無所属","むしょぞく","independent (esp. in politics), non-partisan"
"公約","こうやく","public commitment, public promise, campaign pledge, official vow"
"発電","はつでん","generation of electricity, power generation; sending a telegram, telegraphing"
"供与","きょうよ","giving, provision, furnishing"
"財務","ざいむ","financial affairs"
"終盤","しゅうばん","endgame, final stage"
"令","れい","command, order, dictation; nth year in the Reiwa era (May 1, 2019-)"
"速球","そっきゅう","fastball"
"経","きょう","sutra, Buddhist scriptures"
"強気","つよき","confident, assured, self-assured, firm, strong, cocksure; bullish"
"参議院","さんぎいん","House of Councillors (upper house of the National Diet of Japan)"
"冬季","とうき","winter season, winter"
"法学","ほうがく","law, jurisprudence"
"憲章","けんしょう","charter"
"債券","さいけん","bond, debenture"
"商法","しょうほう","business practice, business method, commerce; commercial law"
"先制","せんせい","head start, initiative, preemption"
"選挙戦","せんきょせん","election campaign"
"贈賄","ぞうわい","giving a bribe, bribery"
"届け出","とどけで","report, notification"
"労使","ろうし","labour and management, labor and management"
"離党","りとう","secession from a political party"
"売り","うり","sale, selling; selling point, gimmick; seller, vendor; prostitution"
"円安","えんやす","depreciation of the yen, weak yen"
"検定","けんてい","official certification, official approval, inspection, verification, examination; certification examination, licensing examination, proficiency test; hypothesis testing"
"古典","こてん","classic (work, esp. book), the classics"
"五分","ごぶ","half, 50%, tie, evenness; 5 parts, 5%"
"控訴","こうそ","appeal to a higher court, intermediate appeal"
"遵守","じゅんしゅ","observance (of laws, rules, etc.), adherence, obeying, following, abiding by, compliance"
"両面","りょうめん","both sides, two sides, double-sided"
"一票","いっぴょう","one vote, one ballot"
"解任","かいにん","dismissal (from a post), discharge, removal"
"核実験","かくじっけん","nuclear (bomb) test"
"慣行","かんこう","customary practice, habit, traditional event"
"広がり","ひろがり","spread, span, expanse, extent"
"控除","こうじょ","subtraction, deduction (e.g. of tax)"
"国務","こくむ","affairs of state"
"今夏","こんか","this summer, next summer, last summer"
"需給","じゅきゅう","supply and demand"
"総合的","そうごうてき","comprehensive, composite, all-round, all-embracing, general, overall, combined, synthetic (e.g. language)"
"駐日","ちゅうにち","resident in Japan (of a foreign ambassador, government official, etc.)"
"内訳","うちわけ","itemization (of expenses), the items, breakdown, classification"
"民族主義","みんぞくしゅぎ","nationalism"
"賛否","さんぴ","yes and no, for and against"
"米価","べいか","rice price"
"代替","だいたい, だいがえ","substitution; alternative, substitute"
"解禁","かいきん","lifting a ban, raising an embargo, opening a season (hunting, fishing, etc.); publishing contents, revealing information"
"教材","きょうざい","teaching materials"
"打率","だりつ","batting average"
"貸付","かしつけ","loan"
"内定","ないてい","tentative decision, unofficial offer (esp. job offer), informal offer"
"皮切り","かわきり","beginning, start"
"小売り店","こうりてん","retail store, retail shop"
"自主的","じしゅてき","independent, autonomous, voluntary, of one's own initiative"
"組閣","そかく","formation of a cabinet"
"一因","いちいん","one cause, one reason, one factor"
"歌劇","かげき","opera"
"規約","きやく","agreement, rules, code, protocol, convention, bylaw"
"給付","きゅうふ","provision (of money or goods), furnishing, conferral, payment, delivery, benefit"
"自由化","じゆうか","liberalization, liberalisation, freeing"
"生態系","せいたいけい","ecosystem"
"草の根","くさのね","roots of grass, places hidden from sight; grassroots (e.g. of a political party), rank and file"
"糖尿病","とうにょうびょう","diabetes, diabetes mellitus"
"年次","ねんじ","annual, yearly; year (e.g. of graduation), nth year (e.g. student), order by year"
"部数","ぶすう","number of copies, circulation"
"申し入れ","もうしいれ","proposal, offer, report, proposition, notice, request"
"課程","かてい","course, curriculum"
"均等","きんとう","equal (distribution, treatment, level, etc.), even, uniform"
"人道的","じんどうてき","humane"
"単一","たんいつ","single, simple, sole, individual, unitary"
"定価","ていか","list price, regular price, established price"
"液晶","えきしょう","liquid crystal"
"国際法","こくさいほう","international law, law of nations"
"混戦","こんせん","confused fight, free-for-all, melee; close contest, close match"
"消息筋","しょうそくすじ","informed circles"
"上告","じょうこく","final appeal to the highest court"
"弾み","はずみ","bounce, spring, rebound; momentum, impetus, impulse, stimulus, inertia; moment, instant, impulse, chance"
"陳情","ちんじょう","petition, appeal"
"内線","ないせん","phone extension, indoor wiring, inner line"
"相乗り","あいのり","riding together, sharing a car (taxi, etc.), ridesharing; doing in collaboration; backing of the same candidate by different political parties"
"催し","もよおし","event, festivities, function, social gathering, auspices, opening, holding (a meeting)"
"社説","しゃせつ","editorial, leading article, leader"
"飾り","かざり","decoration, ornament, trimmings"
"出国","しゅっこく, しゅつごく","departure from a country, leaving a country"
"案件","あんけん","matter (to discuss), item (on the agenda), issue, topic, case; (court) case; project, enterprise; advertisement, sponsorship spot, promotional"
"健康保険","けんこうほけん","health insurance"
"台頭","たいとう","rise (e.g. of a movement), emergence, rearing one's head, gaining prominence, coming to the fore, gaining power, gathering strength"
"盗塁","とうるい","base stealing, steal, stolen base"
"陪審","ばいしん","jury"
"躍進","やくしん","making rapid progress, making great advances, rush, dash, onslaught"
"上方","じょうほう","upper part, upper region, region above"
"年率","ねんりつ","annual rate (of interest)"
"政治犯","せいじはん","political offense, political offence, political crime; political offender, political prisoner, prisoner of conscience"
"時限","じげん","(school) period; period or division of time, time limit"
"給水","きゅうすい","water supply, supplied water, water refill"
"綱引き","つなひき","tug of war; forward puller (of a rickshaw)"
"高水準","こうすいじゅん","high level"
"差額","さがく","balance, difference (in price, cost), margin"
"産卵","さんらん","egg-laying, spawning"
"磁気","じき","magnetism"
"声楽","せいがく","vocal music"
"替え玉","かえだま","stand-in, proxy, substitute, double, ringer; second serving of noodles (to add to one's remaining ramen broth)"
"反体制","はんたいせい","anti-establishment"
"不可分","ふかぶん","atomic, indivisibility"
"履行","りこう","performance (of a duty), fulfillment (of a promise), fulfilment, execution (of a contract), discharge, implementation"
"一色","いっしょく","one color; one kind; one tendency, being the sole mood, sentiment, focus of attention, etc."
"割安","わりやす","economical, comparatively cheap"
"投与","とうよ","administration (of medicine), giving medication"
"融和","ゆうわ","harmony, reconciliation"
"禁錮","きんこ","imprisonment (without forced labour), incarceration, confinement"
"前売り","まえうり","advance sale, booking"
"間接税","かんせつぜい","indirect tax"
"帰属","きぞく","belonging, ascription, attribution, imputation, possession, jurisdiction; reversion, return, restoration"
"凶作","きょうさく","bad harvest, poor crop"
"空前","くうぜん","unprecedented, record-breaking"
"公私","こうし","public and private matters, official and personal affairs, professional and personal lives"
"時期尚早","じきしょうそう","premature"
"贈呈","ぞうてい","presentation (of a gift, prize, etc.)"
"毒性","どくせい","toxicity, virulence; toxic, virulent, poisonous"
"独走","どくそう","running alone, running solo; having a large lead (over the others), being far ahead (of everyone else); having one's own way, ignoring others' opinions and acting as one wishes, arbitrary action"
"冷害","れいがい","cold-weather damage (to crops)"
"感染症","かんせんしょう","infectious disease, infection"
"多角的","たかくてき","multilateral, many-sided, diversified"
"水位","すいい","water level"
"救い","すくい","help, rescue, aid, relief; salvation, solace, (source of) comfort, saving grace; (religious) salvation, (Christian) grace"
"最小","さいしょう","smallest (in size, degree, etc.), least, minimum, minimal"
"水害","すいがい","water damage, flood disaster"
"低温","ていおん","low temperature"
"圧勝","あっしょう","overwhelming victory, crushing victory, sweeping victory, landslide victory"
"格安","かくやす","(very) cheap, (very) inexpensive, cut-price, bargain (price)"
"啓発","けいはつ","enlightenment, development, edification, public awareness, illumination, education, inspiration"
"古都","こと","ancient city, former capital"
"交響楽団","こうきょうがくだん","symphony orchestra"
"公民権","こうみんけん","civil rights, franchise, citizenship"
"仕上がり","しあがり","finish, end, completion, result"
"就学","しゅうがく","entering school, school attendance"
"随時","ずいじ","whenever necessary, as needed, as required, as occasion demands; at any time, at all times"
"政情","せいじょう","political situation, political affairs"
"脱却","だっきゃく","ridding oneself, freeing oneself of, growing out of, overcoming, outgrowing"
"同数","どうすう","same number"
"覇権","はけん","hegemony"
"頻度","ひんど","frequency (of occurrence)"
"埋蔵","まいぞう","burying in the ground; having underground deposits"
"落選","らくせん","failing to be elected, election defeat, losing an election; not being accepted (for a prize, exhibition, etc.), rejection, failing to win a prize"
"国勢調査","こくせいちょうさ","(national) census"
"最年少","さいねんしょう","youngest"
"悔い","くい","regret, repentance"
"税務署","ぜいむしょ","tax office"
"密売","みつばい","illicit sale, smuggling, bootlegging, trafficking"
"振込","ふりこみ","payment made via bank deposit transfer; discarding a tile that becomes another player's winning tile"
"干潟","ひがた","tidal flat, tideland"
"企業家","きぎょうか","industrialist, entrepreneur"
"議事録","ぎじろく","record of proceedings, minutes"
"急務","きゅうむ","urgent business, pressing need, imperative"
"最高峰","さいこうほう","highest peak, highest mountain; greatest authority, most prominent person, pinnacle (e.g. of art), peak"
"最盛期","さいせいき","golden age, prime, heyday, height of prosperity; season (for fruit, vegetables, etc.), best time"
"使用者","しようしゃ","user, consumer; employer"
"視聴","しちょう, してい","looking and listening, (television) viewing, watching; (public) attention, interest; (signal) reception"
"選別","せんべつ","selection, classification, sorting, screening, triage"
"認証","にんしょう","certification, attestation, authentication, confirmation; Imperial attestation"
"寝","ね, しん, い","sleep"
"大病","たいびょう","serious illness, dangerous disease"
"衰え","おとろえ","weakening, emaciation, decline"
"生息地","せいそくち","habitat, home (e.g. of the tiger)"
"驚かす","おどろかす","to surprise, to frighten, to create a stir"
"献血","けんけつ","blood donation"
"常用","じょうよう","habitual use, daily use"
"水増し","みずまし","dilution, watering down; inflation (of budget, claim, etc.), padding"
"未然","みぜん","before it happens, previously"
"有意義","ゆういぎ","significant, useful, meaningful, worthwhile, valuable, of interest"
"王手","おうて","check"
"既婚","きこん","married"
"穴埋め","あなうめ","filling (up) a hole; filling in (for a gap, vacancy, etc.), stopgap, filler (e.g. article); making up (for a loss, damage, etc.), covering (a deficit), compensation; cloze deletion (test format)"
"充電","じゅうでん","charging (electrically); electrification"
"盛況","せいきょう","success, prosperity, boom"
"暖冬","だんとう","mild winter, warm winter"
"平泳ぎ","ひらおよぎ","breaststroke (swimming)"
"模擬","もぎ","imitation"
"盲導犬","もうどうけん","guide dog, seeing-eye dog"
"力点","りきてん","emphasis, stress, main point, importance; point of a lever where force is applied"
"振り出し","ふりだし","shaking (something) out; starting point, beginning, outset; drawing (e.g. of a bill), issue, draft; throw (of dice); infusion (remedy); shaker (e.g. saltshaker)"
"国家試験","こっかしけん","state examination, national examination"
"冬場","ふゆば","wintertime, winter season"
"記録的","きろくてき","record, record-setting, record-breaking"
"美術展","びじゅつてん","art exhibition"
"労働基準法","ろうどうきじゅんほう","Labor Standards Act"
"乾電池","かんでんち","dry cell battery"
"植物園","しょくぶつえん","botanical garden"
"請願","せいがん","petition"
"地質","ちしつ","geological features"
"防火","ぼうか","fire prevention, fire control, fireproofing"
"容積","ようせき","capacity, volume"
"愛犬","あいけん","pet dog, beloved dog; love of dogs, fondness for dogs"
"核家族","かくかぞく","nuclear family"
"見本市","みほんいち","trade fair"
"合金","ごうきん","alloy"
"最短","さいたん","shortest"
"殺菌","さっきん","sterilization, sterilisation, disinfection, pasteurization"
"邪","よこしま","wicked, evil, wrong, bad"
"手書き","てがき","handwriting; handwritten, hand-drawn, hand-painted"
"水死","すいし","death by drowning"
"生育","せいいく","birth and growth, giving birth and raising, development, breeding"
"裏方","うらかた","someone working behind-the-scenes, scene shifter; lady consort (to a high personage)"
"清新","せいしん","fresh, new"
"好成績","こうせいせき","good results"
"社会科","しゃかいか","social studies"
"小冊子","しょうさっし","booklet, pamphlet"
"精彩","せいさい","brilliance, luster, lustre, colorfulness, colourfulness; vividness, life"
"立ち往生","たちおうじょう","being brought to a standstill, being stranded, getting stuck, stalling, deadlock; being stumped, being in a dilemma, stopping in one's tracks, standing speechless; dying while standing (and remaining standing), dying on one's feet"
"文化遺産","ぶんかいさん","cultural heritage"
"漢方薬","かんぽうやく","Chinese herbal medicine"
"値下がり","ねさがり","price decline, fall in price"
"日帰り","ひがえり","day trip"
"安らぎ","やすらぎ","peace (of mind), tranquility, tranquillity, serenity"
"一打","いちだ","stroke, blow"
"花粉症","かふんしょう","hay fever, pollinosis (allergy to pollen)"
"核武装","かくぶそう","nuclear arms"
"骨抜き","ほねぬき","boning (fish or meat), deboning; watering down (a plan, bill, etc.), dilution, emasculation; taking the backbone out of, weakening"
"薬剤師","やくざいし","pharmacist, chemist"
"零細","れいさい","insignificant, trifling, paltry, cottage (industry), tiny (company)"
"水鳥","みずとり, みずどり, すいちょう","waterfowl, water bird, shorebird"
"原価","げんか","cost price"
"長雨","ながあめ, ながめ","long spell of rain"
"省エネルギー","しょうエネルギー","energy conservation, economical use of energy, energy-saving"
"出題","しゅつだい","setting a question (for an exam, quiz, etc.); setting a theme (for composition of poetry)"
"直通","ちょくつう","direct line, direct communication, connecting directly, through service, nonstop service"
"表裏","ひょうり, おもてうら","front and back, inside and outside, two sides, both sides; duplicity, double-dealing, being two-faced"
"餅","もち","mochi, small rice cake made from glutinous rice"
"一文","いちもん","tiny amount of money, a penny, a cent, a farthing; one letter, one character; one mon (unit of currency)"
"員数","いんずう, いんず, いんじゅ","(total) number (of people or things), count, quota"
"栄冠","えいかん","laurels, garland"
"休止","きゅうし","pause, suspension, rest, stoppage"
"高品質","こうひんしつ","high quality"
"譲り渡す","ゆずりわたす","to hand over, to turn over, to cede"
"職権","しょっけん","one's (official) authority, ex-officio authority, power"
"発電機","はつでんき","dynamo, power generator"
"足がかり","あしがかり","foothold, footing, toehold, stepping stone"
"梁","はり","beam, joist"
"延滞","えんたい","arrears, (being) overdue, delay (e.g. in payment), procrastination"
"家計簿","かけいぼ","household account book"
"海水浴場","かいすいよくじょう","swimming area (in the ocean), swimming beach, seawater baths"
"義務教育","ぎむきょういく","compulsory education"
