"県下","けんか","in the prefecture, prefectural"
"一筋","ひとすじ","one line, one stretch (e.g. of road), one strand (e.g. of hair), one beam (e.g. of light), one ray, one length (e.g. of rope); earnest, resolute, intent, devoted, single-minded; one bloodline, one clan; ordinary, common"
"紅葉","こうよう","leaves turning red (in autumn), red leaves, autumn colours, fall colors"
"燃料","ねんりょう","fuel"
"羽","はね, は","feather, plume, down; wing; blade (of a fan, propeller, etc.); shuttlecock (in badminton); shuttlecock (in hanetsuki); arrow feathers"
"批評","ひひょう","criticism, critique, review, commentary"
"","ドキドキ, どきどき, どきんどきん, ドキンドキン","thump-thump, bang-bang, pit-a-pat, pitapat, pitter-patter; to beat fast (of one's heart), to throb, to pound, to palpitate"
"仕上げる","しあげる","to finish up, to complete, to finish off, to get through, to polish off"
"蝉","せみ, せび, セミ","cicada, locust; small-sized pulley"
"沖縄","おきなわ","Okinawa (city, prefecture)"
"樹木","じゅもく","tree, trees and shrubs"
"","キャスター, キャスタ","caster; newscaster, news anchor, anchorman, anchorwoman"
"緊急","きんきゅう","urgency, emergency"
"","ライフル","rifle"
"乏しい","とぼしい, ともしい","meagre, meager, scarce, limited, destitute, hard up, lacking, scanty, poor"
"","ステージ","stage (platform); performance, show; stage (phase), part; stage, level"
"県警","けんけい","prefectural police"
"工作","こうさく","handicraft; work, construction, manufacturing; maneuvering, manoeuvering"
"濡らす","ぬらす","to wet, to moisten, to dampen, to soak, to dip"
"相棒","あいぼう","partner, pal, accomplice"
"布哇","ハワイ","Hawaii, Hawai'i"
"桜花","おうか, さくらばな","cherry blossom"
"一連","いちれん","series, chain, sequence; two reams (i.e. 1000 sheets of paper); verse, stanza"
"農民","のうみん","farmer, peasant"
"この内","このうち, このなか","among these, between these, of these; in here, in this"
"盾","たて","shield, buckler, escutcheon, pretext"
"埋葬","まいそう","burial"
"少","しょう","small, little, few"
"回避","かいひ","evasion, avoidance; recusal (of a judge)"
"疑わしい","うたがわしい","doubtful, questionable, uncertain, disputable, suspicious"
"以内","いない","within, inside of, less than"
"徹底","てってい","thoroughness, completeness, consistency; thorough enforcement, seeing to it that a policy, etc. is carried out without exception"
"制御","せいぎょ","control (of a machine, device, etc.); control (over an opponent, one's emotions, etc.), governing, management, suppression, keeping in check"
"曰く","いわく","pretext, history, past, story; according to ..., ... says"
"峠","とうげ","(mountain) pass, highest point on a mountain road, ridge; peak (e.g. of summer), worst (e.g. of an illness), crisis, critical point, most difficult part"
"","パターン, パタン","pattern; behavioural pattern, behavioral pattern, predictability, force of habit"
"出鱈目","でたらめ, デタラメ","nonsense, irresponsible remark, codswallop, hogwash, rubbish; random, haphazard, unsystematic"
"頑固","がんこ","stubborn, obstinate, pigheaded"
"僧侶","そうりょ","priest, monk, bonze"
"専用","せんよう","(one's) exclusive use, private use, personal use; dedicated use, use for a particular purpose; exclusive use (of particular products), using only (e.g. a certain brand), using solely"
"就職","しゅうしょく","finding employment, getting a job"
"正常","せいじょう","normal, regular"
"恐縮","きょうしゅく","feeling (much) obliged, being (very) grateful, being thankful; feeling sorry (for troubling someone), feeling ashamed (e.g. of an error), feeling embarrassed (e.g. by someone's compliments, hospitality, etc.); shrinking back in fear"
"暑さ","あつさ","heat (of the weather), hotness"
"","ヨット","yacht (esp. a sailing boat with one mast), sailing boat, sailboat"
"北方","ほっぽう","the north, northward, northern direction; northern part (e.g. of a country), northern district"
"封","ふう","seal"
"合流","ごうりゅう","confluence (of rivers), flowing together, joining; joining (of people, groups, parties, etc.), union, linking up, merging (e.g. of traffic), meeting (up)"
"騒動","そうどう","riot, rebellion, turmoil, strife; (media) uproar, brouhaha, (public) outcry, scandal, controversy; feud, tussle, quarrel, dispute"
"目下","めした","subordinate, subordinates, inferior, inferiors, junior"
"毎朝","まいあさ, まいちょう","every morning"
"未亡人","みぼうじん, びぼうじん","widow"
"麦","むぎ","wheat, barley, oat (oats)"
"通訳","つうやく","interpretation (i.e. oral translation); interpreter"
"衣類","いるい","clothes, clothing, garments"
"滅ぼす","ほろぼす","to destroy, to overthrow, to wreck, to ruin"
"","まあまあ","so-so, passable, not (so) bad, reasonable; now, now, there, there, there now; my, my, oh my!, dear me!"
"怠惰","たいだ","lazy, idle, indolent, slothful"
"行方不明","ゆくえふめい","missing (of a person), lost, unaccounted for, whereabouts unknown"
"","ローン","loan"
"良き","よき","goodness; good"
"","さよなら, サヨナラ","goodbye, so long, farewell; saying goodbye to (e.g. life as a bachelor), putting an end to, parting with; farewell (performance, party, etc.), final, last, game-winning (e.g. hit)"
"見当たる","みあたる","to be found"
"年後","ねんご","years later"
"会員","かいいん","member, the membership"
"進出","しんしゅつ","advance (into a new market, industry, etc.), expansion (into), launch (into), entering, making inroads (into); advance (to the next round of a competition)"
"所詮","しょせん","after all, in the end, anyway; (cannot) possibly, (not) at all, (not) by any means, (not) ever"
"是非とも","ぜひとも","by all means, at all costs, absolutely"
"有力","ゆうりょく","influential, prominent, leading; strong, powerful, likely, plausible, promising, convincing, substantial"
"政策","せいさく","political measures, policy"
"静める","しずめる","to quiet (a child, crowd, etc.), to quieten, to make quiet; to calm (one's nerves, excitement, etc.), to compose (oneself), to appease (someone's anger), to pacify, to settle (e.g. discord); to suppress (a rebellion, riot, fire, etc.), to quell, to put down, to get under control; to relieve (a cough, pain, etc.), to soothe, to alleviate, to ease; to appease (a spirit, soul, etc.), to pacify, to soothe"
"遡る","さかのぼる","to go upstream, to go up (a river); to go back (to the past or origin), to date back (to), to trace back (to), to be retroactive (to)"
"産業","さんぎょう","industry; livelihood, occupation"
"","ベランダ, ベランダー","balcony; veranda, verandah, porch"
"現地","げんち","actual place, actual location, the spot, the scene, the field, (on) site; place where one is currently living"
"最終的","さいしゅうてき","final, eventual, ultimate"
"名付ける","なづける","to name, to call, to christen, to term"
"思いやる","おもいやる","to sympathize with, to sympathise with, to feel for, to be considerate of, to show consideration for, to bear in mind; to think of (a far-off person, place, etc.), to cast one's mind to; to worry about, to feel anxious about, to be concerned about"
"受理","じゅり","acceptance"
"海賊","かいぞく","pirate"
"","セーター, スエーター, スウェーター","sweater, jumper"
"根本","こんぽん, こんぼん","root, source, origin; foundation, basis, essence"
"小人","こびと","dwarf, midget, pygmy"
"武者","むしゃ","warrior"
"従兄弟","いとこ, じゅうけいてい","cousin (male)"
"揺さぶる","ゆさぶる","to shake, to jolt, to rock, to swing, to sway; to shake (e.g. the political world), to disturb, to shock, to upset; to put off a batter (by varying one's type of pitch)"
"聞き取る","ききとる","to catch (someone's words), to make out, to follow, to understand; to ask about (a situation, circumstances, etc.), to inquire"
"魅力的","みりょくてき","charming, fascinating, attractive"
"個性","こせい","individuality, personality, quirk, idiosyncrasy, character, individual characteristic"
"想像力","そうぞうりょく","(power of) imagination"
"振動","しんどう","oscillation, vibration, swing (e.g. of a pendulum)"
"巧妙","こうみょう","ingenious, skillful, clever, deft"
"相撲","すもう, すまい","sumo (wrestling); sumo wrestler, rikishi"
"芝","しば","lawn, sod, turf"
"都内","とない","within the (Tokyo) metropolitan area"
"有効","ゆうこう","valid, effective; yuko (judo)"
"航海","こうかい","(sea) voyage, navigation, sailing, passage, cruise"
"本日","ほんじつ","today, this day"
"中断","ちゅうだん","interruption, suspension, break"
"海上","かいじょう, かいしょう","(on the) sea, surface of the sea"
"","ジャケット, ジャケツ","jacket; book jacket, dust cover; CD jacket, record jacket"
"婚約","こんやく","engagement, betrothal"
"大工","だいく","carpenter"
"論文","ろんぶん","thesis, essay, treatise, paper, article"
"平野","へいや","plain, open field"
"陽光","ようこう","sunshine, sunlight"
"泣き声","なきごえ","cry (e.g. of a baby), sob, whine; tearful voice, weepy voice"
"側面","そくめん","side, flank, profile, sidelight, lateral; aspect, dimension"
"草臥れる","くたびれる","to get tired, to become exhausted, to grow weary; to become worn out, to become battered (from long use); to get tired of (doing), to get fed up with"
"","ヘルメット","helmet, hard hat, protective headgear"
"日曜","にちよう","Sunday"
"小説家","しょうせつか","novelist, fiction writer"
"企てる","くわだてる","to plan, to plot, to propose, to design, to intend, to contemplate; to attempt (e.g. suicide, murder), to undertake (e.g. business); to stand on tip-toes"
"無縁","むえん","unrelated, unconnected, irrelevant, indifferent, divorced from, having nothing to do with one, being foreign to one; without relations (esp. of a deceased person), having no surviving relatives; unrelated to the teachings of Buddha, unable to be saved by Buddha"
"委ねる","ゆだねる","to entrust (a matter) to, to leave to; to abandon oneself to (e.g. pleasure), to yield to (e.g. anger), to devote oneself to"
"進化","しんか","evolution; evolution, becoming more advanced, progress, development, improvement"
"","ミサイル","missile"
"白衣","はくい, びゃくえ, びゃくい, はくえ, しろきぬ, しろぎぬ","white clothes, white robe; white gown (worn by doctors, chemists, etc.); commoner without rank (in ancient China); layperson"
"山道","やまみち, さんどう, せんどう","mountain road, mountain trail"
"金貨","きんか","gold coin"
"教科書","きょうかしょ","textbook, coursebook, schoolbook"
"裏側","うらがわ","the reverse (side), back (side), other side, hidden side, behind the scenes"
"敗戦","はいせん","defeat, lost battle, losing a war"
"威厳","いげん","dignity, majesty, solemnity, gravity"
"桁","けた","column, beam, girder, crossbeam, spar, yard; digit, decade, order of magnitude"
"混ざる","まざる","to be mixed, to be blended with, to associate with, to mingle with, to join"
"舵","かじ","rudder, helm"
"今晩","こんばん","tonight, this evening"
"注意深い","ちゅういぶかい","attentive, cautious, careful, watchful"
"卓","たく, しょく","table, desk; counter for tables, desks, etc.; offering table before an altar (sometimes used in tea ceremony); tabletop incense burner"
"手すり","てすり","handrail, railing, banister"
"","カップル","couple"
"響き","ひびき","echo, reverberation; sound (esp. the distinctive sound of an object or activity, e.g. rain, gun, gallop, drum), noise; quality of a sound (e.g. a fine phrase, clear voice, resonant bell), feeling of a sound, emotion or feeling inspired by something heard or read"
"","ドラゴン","dragon (as depicted in Western myths)"
"同時","どうじ","same time; simultaneous, concurrent, synchronous"
"回収","かいしゅう","collection, recovery, withdrawal, retrieval"
"揺らぐ","ゆらぐ","to swing, to sway, to shake, to tremble; to waver, to feel shaken, to become unstable"
"軍艦","ぐんかん","warship, battleship"
"映す","うつす","to project, to reflect, to cast (shadow)"
"夕刻","ゆうこく","evening, evening hour"
"見返す","みかえす","to look (stare) back at (someone); to look at again, to re-examine; to prove oneself superior (to someone who had previously been condescending), to put a person to shame, to get one's own back; to look back (behind oneself)"
"口々に","くちぐちに","each and every person (saying), one and all, unanimously, in unison, separately, individually"
"高速","こうそく","high-speed, rapid, express; highway, freeway, expressway, motorway"
"対策","たいさく","measure, step, countermeasure, counterplan, countermove, strategy, preparation (e.g. for a test)"
"未練","みれん","lingering attachment, lingering affection, regret, reluctance, ruefulness"
"善くも","よくも","how dare ..., how could ...; surprisingly, unexpectedly"
"独自","どくじ","original, unique, distinctive, characteristic, peculiar; independent, one's own, personal"
"縮める","ちぢめる","to shorten, to reduce, to condense, to shrink; to crumple (fabric), to wrinkle; to make (one's body) smaller, to draw in (one's legs), to duck (one's head)"
"靡く","なびく","to bend, to flutter, to wave; to yield to, to be swayed by, to bow to, to obey"
"打ち合わせる","うちあわせる","to knock together, to strike against each other; to arrange (e.g. a meeting), to discuss (in advance)"
"発明","はつめい","invention; intelligent, clever, smart"
"乗り越える","のりこえる","to climb over, to get over, to cross (a mountain); to overcome (a difficulty, obstacle, etc.), to surmount, to get through (an illness, crisis, etc.), to get over (e.g. one's pain); to surpass (a predecessor), to overtake"
"札幌","さっぽろ","Sapporo (city in Hokkaido)"
"最終","さいしゅう","last, final, closing; last train (bus, flight, etc.; of the day)"
"採る","とる","to adopt (a method, proposal, etc.), to take (a measure, course of action, etc.), to decide on; to pick (e.g. flowers), to gather (e.g. mushrooms), to catch (e.g. insects); to extract (e.g. juice), to take (e.g. a sample); to assume (an attitude); to take on (workers, students), to employ, to hire; to draw in (e.g. water), to let in (e.g. light from a window)"
"作り上げる","つくりあげる","to build up, to complete, to construct, to create, to put together; to make up, to fabricate, to invent, to cook up"
"研ぐ","とぐ","to sharpen, to hone, to whet, to grind; to wash (rice); to scour, to polish, to burnish"
"大学生","だいがくせい","university student, college student"
"順調","じゅんちょう","favourable, favorable, doing well, OK, all right"
"傾斜","けいしゃ","inclination, slant, slope, bevel, list, dip, tilt, lean"
"休息","きゅうそく","rest, relief, relaxation"
"無関心","むかんしん","apathetic, indifferent, nonchalant, callous"
"","だっけ","was it?, I think it was ..., if I've got it right, if I'm not mistaken, remind me, tell me again; (I, we) used to ..., I remember ..., it was ..."
"","スタンド","stands, bleachers; stand (e.g. newspaper stand), counter (e.g. lunch counter); stand (e.g. inkstand); desk lamp, floor lamp, standard lamp; station (e.g. gas station)"
"対面","たいめん, たいめ","meeting face-to-face, seeing in person; facing (each other), opposing (traffic, etc.), confronting"
"容赦","ようしゃ","pardon, forgiveness, tolerance, overlooking; leniency, mercy, going easy (on someone)"
"静けさ","しずけさ","stillness, silence, quiet, hush, calm, serenity"
"欠点","けってん","fault, defect, flaw, weak point, weakness, shortcoming, drawback; failure (in an examination), failing grade"
"学院","がくいん","institute, academy"
"重苦しい","おもくるしい","heavy (feeling, etc.), gloomy (weather, etc.), oppressive (atmosphere, etc.), stifling, strained"
"人民","じんみん","the people, citizens, the populace"
"調整","ちょうせい","adjustment, regulation, coordination, reconciliation, tuning, fixing, tailoring"
"肯定","こうてい","affirmation; affirmative"
"計","けい","plan; meter, measuring device; (in) total, total (of)"
"裏口","うらぐち","backdoor, rear entrance, rear exit; unauthorized, illicit, illegal"
"新田","しんでん, あらた","new rice field, newly developed rice field; wasteland or marshland newly reclaimed as a rice field (Edo period)"
"医学","いがく","medical science, medicine"
"夕暮れ","ゆうぐれ","evening, dusk, twilight"
"着陸","ちゃくりく","landing, alighting, touch down"
"設置","せっち","establishment, institution; installation (of a machine or equipment)"
"気のせい","きのせい","(just) one's imagination"
"発音","はつおん","pronunciation; production of sound"
"葬る","ほうむる, ほうぶる","to bury, to inter, to entomb; to cover up, to hush up, to shelve"
"加速","かそく","acceleration, speeding up"
"製造","せいぞう","manufacture, production"
"格","かく","status, position, rank; method, way, style; rule, regulation, law; case; figure (form of a syllogism)"
"前提","ぜんてい","condition, assumption, prerequisite, hypothesis; intention, intent, aim, goal; premise"
"熱中","ねっちゅう","being enthusiastic about, being wild about, being absorbed in, being engrossed in, being devoted to"
"容赦なく","ようしゃなく","mercilessly, relentlessly, unsparingly"
"防御","ぼうぎょ","defense, defence, safeguard, protection"
"手綱","たづな","reins, bridle; control, the reins (on)"
"掲載","けいさい","publication (e.g. of an article in a newspaper), carrying (e.g. a story), running (e.g. a serial), insertion (e.g. of an advertisement), printing, posting (e.g. on the web)"
"支配人","しはいにん","manager, executive"
"東北","とうほく, ひがしきた","north-east; Tōhoku (northernmost six prefectures of Honshu), Tohoku"
"無線","むせん","radio (communication); wireless, not using wires"
"扇","おうぎ, おおぎ","folding fan"
"年下","としした","younger, junior"
"使命","しめい","mission, errand; task, duty, obligation"
"要は","ようは","in short, the point is, the important thing is, in a word, basically"
"帰化","きか","naturalization, naturalisation"
"前夜","ぜんや","last night, the previous night; night before (Christmas, etc.), eve (of festival, major event, etc.)"
"決","けつ","decision, vote"
"剣士","けんし","swordsman, swordswoman, fencer"
"組み合わせる","くみあわせる","to put together, to combine, to join together, to join up; to match against (e.g. in a sport)"
"落ち込む","おちこむ","to feel down, to feel sad, to be depressed, to be in low spirits; to be in a slump (business, economy, etc.), to be in an unfavourable condition; to fall into (e.g. a hole)"
"格別","かくべつ, かくべち","particular, special, exceptional, especial; particularly, especially, exceptionally"
"","おっさん, オッサン","middle-aged man; Buddhist priest"
"","ジャー","vacuum bottle, thermos; jar"
"身辺","しんぺん","one's person, around one's person"
"","シーツ","sheet, bed sheet"
"遭遇","そうぐう","encounter, running into, meeting with (e.g. an accident), being confronted with (e.g. a difficulty)"
"居場所","いばしょ","whereabouts, place, location; place where one belongs, where one fits in, place where one can be oneself"
"群がる","むらがる","to swarm, to gather"
"お早う","おはよう, おはよー","good morning"
"台湾","たいわん","Taiwan"
"","そうですが","that's so, however ..."
"労働者","ろうどうしゃ","worker; (manual) laborer, labourer, blue-collar worker"
"灰皿","はいざら","ashtray"
"命中","めいちゅう","(direct) hit, hitting the mark"
"道理","どうり","reason, logic, sense, truth, right"
"有する","ゆうする","to have, to possess, to own, to be endowed with"
"総会","そうかい","general meeting"
"一座","いちざ","the whole company, the party, all those present, everyone in attendance; attendance (at a gathering), presence; banquet, dinner, party; troupe, (theatrical) company; (one) statue; top seat, head (of the table)"
"所為","せい, せえ","consequence, outcome, result, blame, fault"
"創造","そうぞう","creation; Creation (by God)"
"空襲","くうしゅう","air-raid"
"","シリーズ, シーリーズ","series"
"願望","がんぼう, がんもう","desire, wish, aspiration"
"","ねた, ネタ","material (for a story, article, etc.), information, news item; joke, jest, (comedy) routine, made-up story, material; proof, evidence; (magician's) trick, secret; ingredients (esp. for sushi); (Internet) meme"
"","ダイヤ, ダイア","diamond"
"新聞社","しんぶんしゃ","newspaper company"
"呑気","のんき, ノンキ","easy, easygoing, carefree, happy-go-lucky, optimistic, leisurely, careless, thoughtless"
"根ざす","ねざす","to come from, to have roots in"
"調べ","しらべ","investigation, inspection, examination; tune, note, melody"
"上がったり","あがったり","doomed (business, trade, etc.), in a bad state, poor"
"停戦","ていせん","armistice, ceasefire"
"同国","どうこく","same country, same province; the (said) country"
"原油","げんゆ","crude oil"
"脳死","のうし","brain death"
"売買","ばいばい","trade, buying and selling, trafficking (e.g. of humans, arms, drugs), dealing"
"有権者","ゆうけんしゃ","(eligible) voter, elector, constituent, the electorate; holder of a right, rightsholder, right holder; bigwig, person with political clout"
"国債","こくさい","national debt, national securities, government bonds, government securities"
"債権","さいけん","credit, claim"
"訪日","ほうにち","visit to Japan"
"有","ゆう","existence; possession, having; limited company"
"上院","じょういん","upper house, upper legislative chamber, senate"
"首位","しゅい","first place, head position, leading position"
"引き上げ","ひきあげ","pulling up, drawing up, salvage, re-flotation; raising, increase, upward revision; repatriation, evacuation"
"市立","しりつ, いちりつ","municipal, city"
"振興","しんこう","promotion, encouragement"
"白書","はくしょ","white paper (government report)"
"会期","かいき","session (of a legislature)"
"国務長官","こくむちょうかん","Secretary of State"
"空爆","くうばく","aerial bombing"
"公定歩合","こうていぶあい","official discount (bank) rate"
"公立","こうりつ","public (institution)"
"本音","ほんね","real intention, motive, true opinion, what one really thinks"
"工学","こうがく","engineering"
"残高","ざんだか","(bank) balance, remainder"
"発電所","はつでんしょ","power plant, power station"
"飯","めし","cooked rice; meal, food; one's living, livelihood"
"欄","らん","section (e.g. in a newspaper), column, page; field (in a form, web page, etc.), blank; handrail, railing, banister, balustrade"
"冠","かんむり, かん, かむり, かんぶり","traditional cap worn by Shinto clergy and courtiers; crown, diadem, coronet; top kanji radical; first verse of a haikai, etc.; best, peerless, first; name, title, named sponsorship of a program, event, team, etc.; counter for titles"
"件数","けんすう","number of cases, incidents, items, messages, accounts, etc."
"南アフリカ","みなみアフリカ","South Africa"
"用地","ようち","site"
"利回り","りまわり","interest, (investment) yield, profits"
"良","りょう","good (quality, condition, etc.); Good (grade), B"
"柄","がら","pattern, design; body build, figure, physique; essential qualities, character, nature; appropriate to, fitting of, suitable for"
"概算","がいさん","approximation, rough estimate, ballpark figure"
"操業","そうぎょう","operation (of a machine, factory, fishing boat, etc.), work"
"草案","そうあん","draft (for a speech, bill, etc.)"
"免疫","めんえき","immunity, immunization, immunisation; being hardened (to), being unaffected (by), being accustomed (to)"
"何人","なにびと, なんびと, なんぴと","anyone, any person, whoever"
"貸出","かしだし","lending, loaning"
"採算","さいさん","profit"
"酸性","さんせい","acidity; acidic"
"油田","ゆでん","oil field"
"一括","いっかつ","lumping together, summing up, bundle, lump, batch"
"著作権","ちょさくけん","copyright"
"市議会","しぎかい","city council"
"棄権","きけん","abstention (from voting), renunciation (of a right), withdrawal (from a contest)"
"議決","ぎけつ","resolution, decision, vote"
"灯","ひ","light, lamp"
"週休","しゅうきゅう","weekly holiday"
"運航","うんこう","operation (of a ship or aircraft route), service, navigation, flight"
"就労","しゅうろう","working, being employed, being hired"
"食生活","しょくせいかつ","eating habits"
"復旧","ふっきゅう","restoration, restitution, rehabilitation"
"分科会","ぶんかかい","subcommittee, subworking group, breakout session"
"民主的","みんしゅてき","democratic"
"引き締め","ひきしめ","tightening"
"祝日","しゅくじつ","national holiday, public holiday"
"利率","りりつ","interest rate"
"稲作","いなさく","rice cultivation, rice crop"
"歌詞","かし","song lyrics, words of a song, libretto"
"半額","はんがく","half the amount (of money), half price, half fare"
"甲","こう","carapace, shell; 1st in rank, grade A; instep, back of hand; the A party (e.g. in a contract), the first party, plaintiff (label in legal documents)"
"冷夏","れいか","cool summer, cold summer, cooler-than-normal summer"
"安売り","やすうり","bargain sale, selling cheaply, selling at a low price; giving out (too) readily, handing out freely, selling (oneself) short"
"洗剤","せんざい","detergent, cleanser, cleaning agent, washing material"
"閉会","へいかい","closure (of a ceremony, event, meeting, etc.)"
"動植物","どうしょくぶつ","plants and animals, flora and fauna"
"重体","じゅうたい","serious condition, critical condition"
"教え","おしえ","teaching, instruction, teachings, precept, lesson, doctrine"
"意思決定","いしけってい","decision-making"
"隔たり","へだたり","distance, interval, gap, difference, estrangement"
"救命","きゅうめい","lifesaving"
"高血圧","こうけつあつ","high blood pressure, hypertension"
"直し","なおし","correction, rectification; mending, repair"
"併合","へいごう","merger, joining into one, amalgamation, melding, merging, annexation, absorption"
"流動的","りゅうどうてき","fluid, unsettled"
"工程","こうてい","process, operation, stage of a process, progress of work"
"超過","ちょうか","excess, surplus, exceeding (a limit, estimate, etc.), going over"
"提起","ていき","raising (a question), posing (a problem), bringing up (an issue), presenting; instituting (a lawsuit), lodging, filing (a claim), submitting (a case); lifting up"
"内面","ないめん","inside, interior; (within) one's mind, one's soul, one's heart"
"過熱","かねつ","superheating, overheating"
"勧め","すすめ","recommendation, advice, suggestion, encouragement"
"月収","げっしゅう","monthly income"
"信頼性","しんらいせい","credibility, authenticity, confidence, reliability"
"税法","ぜいほう","taxation law"
"全盛","ぜんせい","height of prosperity"
"創出","そうしゅつ","creation, generation"
"早","はや","already, now, by this time; quick, early, fast, rapid"
"小売","こうり","retail"
