"責任","せきにん","duty, responsibility (incl. supervision of staff); liability, onus"
"何方","どちら, どっち","which way, which direction, where; which one (esp. of two alternatives); who"
"知識","ちしき","knowledge, information"
"大いに","おおいに","very, very much, greatly, considerably, highly, exceedingly, a great deal, a lot, to one's heart's content"
"姿勢","しせい","posture, pose, position, stance, carriage (of the body); attitude, approach, stance"
"申","さる","the Monkey (ninth sign of the Chinese zodiac); hour of the Monkey (around 4pm, 3-5pm, or 4-6pm); west-southwest; 7th month of the lunar calendar"
"絶対","ぜったい","absolutely, definitely, unconditionally; absolute, unconditional, unmistakable; absoluteness"
"撃つ","うつ","to shoot (a gun, person, etc.), to fire"
"略","ほぼ","almost, roughly, approximately, about, around"
"布","ぬの, ふ","cloth, fabric, material, textile; bujian (spade-shaped bronze coin of ancient China)"
"機械","きかい","machine, mechanism; instrument, appliance, apparatus"
"鳴門","なると","strait with a roaring tidal ebb and flow, whirlpool, maelstrom; kamaboko with a spiral whirlpool-like pattern; cooking technique where ingredients are cut in a spiral pattern; Naruto (city in Tokushima); Naruto Strait; Naruto wakame"
"に依ると","によると","according to (someone)"
"所謂","いわゆる","what is called, what you call, what they call, so-called"
"見送る","みおくる","to see (someone) off, to escort; to watch (someone or something) go out of sight, to follow with one's eyes, to gaze after; to let (a bus, pitch, etc.) go by, to let pass, to pass up (an opportunity); to postpone, to put off, to shelve, to leave (as it is); to take care of (someone) until death, to attend (someone's) funeral, to bury; to hold off (buying or selling), to wait and see"
"見かける","みかける","to (happen to) see, to notice, to catch sight of"
"確信","かくしん","conviction, belief, confidence"
"井戸","いど","water well"
"否定","ひてい","denial, negation, repudiation, disavowal; negation; NOT operation"
"","ビール","beer"
"兄弟","きょうだい, けいてい","siblings, brothers and sisters; brothers; siblings-in-law, brothers-in-law, sisters-in-law; mate, friend"
"","タクシー, タクシ, タキシ, タキシー, タクシィ, タクシイ, タキシイ","taxi"
"一々","いちいち","one-by-one, separately; every single, each and every, without omission, fully, in detail"
"患者","かんじゃ","patient"
"６０","ろくじゅう, むそ","sixty, 60"
"下がる","さがる","to come down, to go down, to fall, to drop, to sink, to get lower; to hang, to dangle; to move back, to step back, to withdraw, to retire; to deteriorate, to fall off, to be downgraded; to get closer to the present day; below, south of"
"何やら","なにやら","something, some kind of; for some reason"
"中国","ちゅうごく, ちゅうこく","China; Chūgoku region (western part of Honshu comprising the prefectures of Okayama, Hiroshima, Yamaguchi, Tottori and Shimane); central part of a country, main region; province of the second lowest rank (ritsuryō system)"
"電車","でんしゃ","train, electric train"
"一生","いっしょう","whole life, a lifetime, all through life, one existence, a generation, an age, the whole world, the era; (the only, the greatest, etc.) of one's life"
"幸い","さいわい","happiness, blessedness, luck, fortune, felicity; luckily, fortunately"
"園","えん","garden, orchard, park, plantation; kindergarten, nursery school, preschool"
"放つ","はなつ","to fire (gun, arrow, questions, etc.), to shoot, to hit (e.g. baseball), to break wind; to set free, to release, to let loose; to emit (e.g. light), to give off (e.g. a scent); to send out (a person to carry out a duty); to set fire to"
"癖に","くせに, クセに","and yet, though, when, in spite of"
"説","せつ","theory, doctrine; opinion, view; rumour, rumor, gossip, hearsay"
"些か","いささか","a little, a bit, somewhat, slightly, rather"
"組織","そしき, そしょく","organization, organisation, formation; structure, construction, setup, constitution; system (e.g. railroad, transport, party, etc.); tissue; texture (of a rock); weave (of a fabric)"
"唯一","ゆいいつ, ゆいつ, ゆういつ","only, sole, unique"
"対する","たいする","to face (each other), to be facing; to be directed toward (the future, etc.), to be in response to, to be related to; to receive (a client, etc.); to compare with, to contrast with, to be in opposition with, to be opposed to; to confront, to oppose, to compete with"
"雷","かみなり, いかずち, らい, いかづち","lightning, thunder, thunderbolt; god of thunder, god of lightning; anger, fit of anger"
"牛","うし, ぎゅう, ウシ","cattle (Bos taurus), cow, bull, ox, calf; beef; Chinese ""Ox"" constellation (one of the 28 mansions)"
"出会い","であい","meeting, rendezvous, encounter; meeting for the first time, coming across; confluence"
"得","とく","profit, advantage, benefit, gain; rebirth in paradise, entering nirvana"
"高","たか, だか","quantity, amount, volume, number, amount of money"
"待ち","まち","waiting, waiting time; wait tile, tile which would complete one's hand"
"愛着","あいちゃく","attachment (esp. to things), love, affection, fondness"
"乗務員","じょうむいん","transport staff (driver, conductor, etc.), crew member, crewman"
"難局","なんきょく","difficult situation"
"締め出す","しめだす","to shut out, to bar, to lock out, to exclude"
"重病","じゅうびょう","serious illness"
"目覚まし時計","めざましどけい","alarm clock"
"見晴らし","みはらし","(scenic) view, prospect, outlook; viewing platform, overlook"
"","ガソリンスタンド, ガソリン・スタンド","gas station, petrol station, filling station"
"揺りかご","ゆりかご","cradle"
"","ブラシ, ブラッシュ","brush"
"株式市場","かぶしきしじょう","stock market"
"日本料理","にほんりょうり","Japanese cooking, Japanese cuisine"
"","トラベラーズチェック, トラベラーチェック, トラベラーズ・チェック, トラベラー・チェック","traveller's cheque, traveler's check"
"被災者","ひさいしゃ","person affected by a disaster, afflicted person, victim, sufferer, survivor"
"我","われ, わ, あれ, あ, わぬ, わろ","I, me; oneself; you; prefix indicating familiarity or contempt"
"主張","しゅちょう","claim, insistence, assertion, advocacy, emphasis, contention, opinion, tenet"
"経つ","たつ","to pass (of time), to elapse"
"警官","けいかん","police officer, policeman, constable"
"信用","しんよう","confidence, trust, faith, reputation; credit"
"全","ぜん","all, whole, entire, complete, total, pan-; complete (set), in total"
"怪我","けが, ケガ","injury, wound; mistake, accident, loss"
"差し出す","さしだす","to hold out, to extend (e.g. a hand); to present, to submit, to tender; to sacrifice, to give (up); to send, to forward"
"発表","はっぴょう","announcement, publication, presenting, statement, communique, making known, breaking (news story), expressing (one's opinion), releasing, unveiling"
"味わう","あじわう","to taste, to savor, to savour, to relish; to appreciate, to enjoy, to relish, to digest; to experience, to go through, to taste (e.g. victory), to know (e.g. pain)"
"何時でも","いつでも, なんどきでも","always, all the time, at all times; (at) any time, whenever (you like)"
"頷く","うなずく, うなづく","to nod, to bow one's head in assent, to agree"
"時刻","じこく","time, (the) hour; favourable time, opportunity, chance"
"午前","ごぜん","morning, a.m."
"飛び込む","とびこむ","to jump in, to leap in, to plunge into, to dive; to burst in, to barge in"
"男の子","おとこのこ","boy, son, baby boy; young man"
"近所","きんじょ","neighbourhood, neighborhood, vicinity"
"州","しゅう","state (of the US, Australia, India, Germany, etc.), province (e.g. of Canada), county (e.g. of the UK), region (e.g. of Italy), canton, oblast; continent; province (of Japan); province (of ancient China), prefecture, department; dear"
"余程","よほど","very, greatly, much, to a large extent, quite; just about to, almost, very nearly"
"素直","すなお","obedient, meek, docile, unaffected; honest, frank, upfront (about one's feelings); straight (e.g. hair); without peculiarity, without mannerisms, standard, neat (e.g. handwriting)"
"留守","るす","absence, being away from home; house-sitting, house-sitter; being left unattended to (of one's studies, etc.), neglecting"
"中でも","なかでも","among (other things), especially, particularly, inter alia, above all (else)"
"忍ぶ","しのぶ","to conceal oneself, to hide; to endure, to bear, to stand, to put up with"
"相変わらず","あいかわらず","as usual, as always, as before, as ever, still"
"知り合う","しりあう","to get to know each other, to make acquaintance"
"訴える","うったえる","to raise, to bring to (someone's attention); to appeal to (reason, emotions, etc.), to work on (one's emotions), to play on (one's sympathies); to complain; to sue (a person), to take someone to court; to resort to (e.g. arms, violence)"
"亡くなる","なくなる","to die, to pass away"
"道路","どうろ","road, highway"
"各々","おのおの","each; you (plural)"
"厘","りん, り","one-hundredth, 0.3 mm (one-hundredth of a sun), 0.1 percent (one-hundredth of a wari), 0.0375 grams (one-hundredth of a monme); rin (monetary unit; 0.001 yen)"
"呼吸","こきゅう","breathing, respiration; knack, trick, secret (of doing something); harmony, balance, synchronization, accord; short interval, short pause"
"申し上げる","もうしあげる","to say, to tell, to state, to express, to offer, to extend (greetings, congratulations, etc.); to do"
"文化","ぶんか","culture, civilization, civilisation; Bunka era (1804.2.11-1818.4.22)"
"居間","いま","living room (Western style), sitting room"
"密か","ひそか","secret, private, surreptitious"
"態と","わざと","on purpose, deliberately, intentionally"
"とんでも無い","とんでもない","unthinkable, unexpected, absurd, outrageous, preposterous, terrible; absolutely not!, far from it!, impossible!, preposterous!, what a thing to say!, no way!; (it was) no bother at all, not at all, don't mention it"
"未来","みらい","(distant) future; future existence, world beyond the grave, the world to come; future (tense)"
"通す","とおす","to stick through, to force through; to spread throughout, to thoroughly diffuse; to make a path between two points; to proceed in a logical manner; to let pass, to allow through; to lead (someone) into (a house, room, etc.), to show in; to go through (a middleman); to (look, listen) through (a window, wall, etc.); to pass (a law, applicant, etc.); to force to accept, to force agreement; to continue (in a state), to persist in; to do to the entirety of, to cover all of, to span the whole ...; to do from beginning to end without a break; to convey (one's ideas, etc.) to the other party; to do to the end, to carry through, to complete"
"兄さん","にいさん, あにさん","older brother, elder brother; brother (as older-brother figure in friendly and or work relationship); young man, buddy, fella, laddie"
"離す","はなす","to separate, to part, to divide, to keep apart"
"集","しゅう","collection, compilation"
"蓋","ふた, フタ","cover, lid, cap"
"十七","じゅうなな, じゅうしち","seventeen, 17"
"本物","ほんもの, ホンモノ","genuine article, real thing, real deal"
"揃う","そろう","to be complete, to be all present, to make a full set, to be satisfied (of conditions); to be equal, to be uniform, to be even, to match, to agree; to gather, to assemble, to be collected"
"","どうしたの","what's the matter?, what's wrong?; what happened (to) ...?, what have you done (with) ...?, where is ...?"
"陽子","ようし","proton"
"一週間","いっしゅうかん","one week"
"事故","じこ, ことゆえ","accident, incident, trouble; circumstances, reasons"
"途端に","とたんに","just as, right after, in the act of, as soon as, at that moment"
"事務所","じむしょ","office"
"大勢","おおぜい, たいぜい","crowd of people, great number of people; in great numbers"
"気をつける","きをつける","to be careful, to pay attention, to take care"
"破壊","はかい","destruction, disruption; (application) crash"
"矢","や, さ","arrow; wedge, chock"
"柳","やなぎ, ようりゅう, ヤナギ","willow (any tree of genus Salix); weeping willow (Salix babylonica)"
"平気","へいき","cool, calm, composed, unconcerned, nonchalant, unmoved, indifferent; all right, fine, OK, okay"
"宜しい","よろしい","good, OK, all right, fine, very well, will do, may, can"
"眉","まゆ, まみえ","eyebrow, eyebrows"
"八つ","やっつ, やつ","eight; eight years of age; two o'clock (old time system)"
"","どんどん, ドンドン","drumming (noise), beating, pounding, banging, booming, stamping; rapidly, quickly, steadily; continuously, one after the other, in succession"
"裂く","さく","to tear, to rip up; to cut up, to cleave, to cut open (esp. the abdomen); to forcibly separate (e.g. two lovers); to spare (time, money, etc.), to use part of something; to have a tattoo in the corner of one's eye"
"都市","とし","town, city, municipal, urban"
"戦地","せんち","front (in battle)"
"積む","つむ","to pile up, to stack; to load (car, ship, etc.), to pack; to acquire, to accumulate"
"捉える","とらえる","to catch, to capture, to seize, to arrest, to grab, to catch hold of; to grasp (e.g. meaning), to perceive, to capture (e.g. features); to captivate, to move (one's heart)"
"面倒","めんどう","trouble, bother; trouble, difficulty; care, attention"
"塚","つか","mound, heap, hillock; burial mound, tomb, tumulus, barrow, gravesite; standing stone, stone signpost, roadside stone statue"
"部長","ぶちょう","head (chief, director) of a section or department; head of a (school) club, head of a (school) team"
"浴びる","あびる","to dash over oneself (e.g. water), to take (e.g. shower), to bask in (e.g. the sun), to bathe in, to be flooded with (e.g. light), to be covered in; to suffer (e.g. an attack), to draw (e.g. criticism, attention, praise), to have heaped upon, to be showered with"
"第","だい","prefix for forming ordinal numbers"
"２００","にひゃく","200, two hundred"
"増える","ふえる","to increase, to multiply"
"見張る","みはる","to stand watch, to stand guard, to look out; to open (one's eyes) wide"
"我ら","われら","we, us; I, me; you"
"嫌い","きらい","disliked, hated, disagreeable; tendency, smack (of), touch (of); distinction, discrimination"
"噛む","かむ","to bite; to chew, to gnaw, to masticate; to fumble one's words (esp. during a play, broadcast, etc.), to falter with one's words, to stutter, to stammer; to crash against (e.g. of waves), to break onto (shore); to engage (of cogs, zippers, etc.), to mesh, to fit together; to be involved in; to convince, to persuade"
"高校","こうこう","senior high school, high school"
"詩","し","poem, poetry, verse; Chinese poem"
"無効","むこう","invalid, void, ineffective, unavailable"
"硬い","かたい","hard, solid, tough; stiff, tight, wooden, unpolished (e.g. writing); strong, firm (not viscous or easily moved); safe, steady, honest, steadfast; obstinate, stubborn; bookish, formal, stuffy"
"８月","はちがつ","August; eighth month of the lunar calendar"
"工場","こうじょう, こうば","factory, plant, mill, workshop"
"度に","たびに, たんびに","each time, every time, whenever (something happens), on the occasion of"
"真剣","しんけん","serious, earnest; real sword (as opposed to a wooden practice weapon)"
"抵抗","ていこう","resistance, opposition, standing up to; reluctance, repulsion, repugnance; resistance, drag, friction; electrical resistance; resistor"
"","なければならない, なければなりません, なければいけない, なければいけません, ねばならぬ, ねばならない, ねばなりません, なければならぬ, なけばならない","have to do, must, should, ought to"
"技術","ぎじゅつ","technology, engineering; technique, skill; art, craft"
"虫","むし","insect, bug, cricket, moth; worm, roundworm; thing inside one's body believed to influence one's thoughts and feelings, (one's) unconscious; nervousness, fretfulness; person devoted to one thing, single-minded person; valve core; mushi (type of game played with a stripped deck)"
"突っ込む","つっこむ, ツッコむ","to thrust (something) into (something), to cram, to stuff, to shove; to plunge into, to charge into, to rush into, to ram into, to crash into; to delve into (a matter), to go into depth, to get to the heart (of something); to press (someone) about, to point out (e.g. an inconsistency), to question sharply, to grill; to get involved with, to meddle in, to poke one's nose into; to riposte, to retort, to quip"
"破る","やぶる","to tear, to rip, to break, to destroy; to break through (cordon, opponent's defense, etc.), to breach; to defeat, to beat; to break (e.g. silence), to disturb (e.g. peace), to shatter (e.g. dream), to disrupt, to spoil; to violate (e.g. rule), to break (e.g. promise), to infringe; to break (a record)"
"捕まえる","つかまえる","to catch, to capture, to arrest, to seize, to restrain; to grab, to clutch, to grasp, to seize, to hold on to; to catch hold of (someone), to stop (e.g. a stranger in the street), to hail (a taxi, waiter, etc.), to hold (someone) back, to detain; towards (someone), at (someone), in (someone's) face"
"便","びん","flight (e.g. airline flight), trip (e.g. train trip), service; mail, post, letter; opportunity, chance"
"被害者","ひがいしゃ","victim, injured party, sufferer"
"頼る","たよる","to rely on, to depend on, to count on, to turn to (for help)"
"格好","かっこう, かっこ, カッコ","shape, form, figure, posture, pose; appearance, style; state, situation; suitable, fit, reasonable; about"
"","タイプ","type, kind, sort, style; type (of person), (ideal) type, one's type; typewriter; typing (on a typewriter)"
"決心","けっしん","determination, resolution"
"派手","はで","showy, loud, flashy, gaudy"
"美人","びじん","beautiful woman, (a) beauty"
"爆発","ばくはつ","explosion, detonation, blast, blowing up, eruption; outburst (of emotion), explosion (e.g. of anger), eruption (e.g. of discontent)"
"","そっくり","all, altogether, entirely, completely; exactly alike (e.g. in appearance), spitting image of, identical, strikingly similar"
"滑る","すべる","to slide, to glide, to skate, to ski; to slip, to skid; to be slippery; to fail (an examination); to lose (a position), to be demoted; to bomb (when telling a joke), to fall flat"
"英語","えいご","English (language)"
"教師","きょうし","teacher, instructor"
"人影","ひとかげ, じんえい","figure of a person, figures of people; shadow of a person"
"新た","あらた","new, fresh, novel"
"逃れる","のがれる","to escape"
"","きちんと","properly, accurately, exactly, precisely, regularly; neatly, tidily, orderly"
"三度","さんど","three times, thrice; third (interval)"
"二度と","にどと","never again"
"其方","そちら, そっち, そなた, そち","that way, that direction; there; that (one); you, your family, your company; that person"
"従う","したがう","to obey (an order, law, etc.), to abide by (a rule, custom, etc.), to follow, to observe, to conform to, to yield to; to follow (a person), to accompany, to go with; to go alongside (e.g. a river), to follow (e.g. a sign); to serve (as), to engage in (work)"
"亭主","ていしゅ","household head, master, host (e.g. of a tea gathering), innkeeper, owner (e.g. of a hotel); husband"
"金利","きんり","interest rate, interest"
"段階","だんかい","stage, step, phase; level, rank, grade, gradation; order; stairs"
"騒ぎ","さわぎ","uproar, disturbance"
"孫","まご","grandchild"
"集まり","あつまり","gathering, meeting, assembly, collection, attendance"
"名所","めいしょ","famous place, noted place, place of (scenic or historical) interest, sights (to see)"
"出","で","coming out, going out, outflow, efflux, rising (of the Sun or the Moon); attending (work), appearing (on stage), one's turn to go on; start, beginning; origins, background, person (or item) originating from ..., graduate of ..., native of ..., member of ... (lineage); architectural member that projects outward; highest point of the stern of a ship; amount (comprising something), amount of time or effort required to do something"
"不作","ふさく","poor crop, bad harvest, crop failure; low quality (e.g. of literary works)"
"年中","ねんじゅう, ねんちゅう, ねんぢゅう","whole year, all year round, throughout the year; always, all the time, perpetually; during an era; second-year kindergarten student"
"見積もり","みつもり","estimate, estimation, valuation, quotation"
"外れ","はずれ, ハズレ","end, verge, extremity, tip, outskirts; miss, failure, blank (e.g. lottery ticket)"
"泊まり","とまり","(overnight) stay, lodging; inn, hotel; night duty; anchorage, harbor, port"
"許し","ゆるし","pardon, forgiveness, exemption, permission"
"手当たり次第","てあたりしだい","using anything one can lay one's hands on, haphazardly, on the rebound, at random, indiscriminately"
"","アレルギー","allergy; aversion (to), strong distaste (for)"
"","センチ","centimeter, centimetre; centi-, 10^-2; sentimental"
"","タンカー","tanker"
"決勝戦","けっしょうせん","championship game, finals (of a tournament), deciding round"
"妬む","ねたむ","to be jealous of, to envy, to begrudge"
"発展途上国","はってんとじょうこく","developing country"
"一人旅","ひとりたび","travelling alone, solitary journey"
"済まない","すまない","inexcusable, unjustifiable, unpardonable; sorry, remorseful, apologetic, conscience-stricken, contrite; excuse me, (I'm) sorry, thank you"
"全体的","ぜんたいてき","overall, general, as a whole"
"","ライター","writer"
"後から","あとから","after, later"
"牛津","オックスフォード, オクスフォード","Oxford"
"怪しい","あやしい","suspicious, dubious, questionable, dodgy, shady, fishy; doubtful, unsure, uncertain, unlikely, implausible; untrustworthy, unreliable, clumsy, awkward, shaky, poor; strange, weird, eerie, spooky, uncanny; ominous (e.g. weather), threatening, dangerous (e.g. financial situation), uncertain; suspicious (of a potential amorous relation); mysterious, bewitching, alluring, enticing, enchanting"
"生じる","しょうじる","to produce, to yield, to cause; to result from, to arise, to be generated"
"仰る","おっしゃる","to say, to speak, to tell; to be called"
"女王","じょおう, じょうおう, にょおう","queen; female champion"
"術","じゅつ","art, technique, skill; means, way; stratagem, artifice, trick, trap; magic, sorcery"
"海軍","かいぐん","navy, naval force"
"若しも","もしも","if, in case, supposing"
"一緒","いっしょ","(doing) together; one lump, one mixture, the same category; the same, identical; (at) the same time"
"話題","わだい","topic, subject; much talked about, topical, in the news, hot"
